nhan_mau_hien_tai,ten_san_pham,nhom_hang,so_sku,cac_size,mau_dung_dien_vao
(tr???ng),Argentina sọc,QUỐC GIA,5,"2XL, L, M, S, XL",""
(tr???ng),Argentina sọc 2024 tay dài,BÓNG ĐÁ TAY DÀI,4,"L, M, S, XL",""
(tr???ng),Argentina sọc 2024 trẻ em,BÓNG ĐÁ TRẺ EM,8,"1, 11, 13, 15, 3, 5, 7, 9",""
(tr???ng),Argentina sọc 26-27,QUỐC GIA,5,"2XL, L, M, S, XL",""
(tr???ng),Argentina sọc 26-27 trẻ em,BÓNG ĐÁ TRẺ EM,8,"1, 11, 13, 15, 3, 5, 7, 9",""
(tr???ng),Barca sọc 2023 - 2024,CÂU LẠC BỘ,5,"2XL, L, M, S, XL",""
(tr???ng),Barca sọc 2023 trẻ em,BÓNG ĐÁ TRẺ EM,8,"1, 11, 13, 15, 3, 5, 7, 9",""
(tr???ng),Barca sọc 25-26 trẻ em,BÓNG ĐÁ TRẺ EM,8,"1, 11, 13, 15, 3, 5, 7, 9",""
(tr???ng),Barca sọc tay dài 2023 - 2024,BÓNG ĐÁ TAY DÀI,4,"L, M, S, XL",""
(tr???ng),Dortmund phiên bản đặt biệt 24-25,CÂU LẠC BỘ,5,"2XL, L, M, S, XL",""
(tr???ng),Dịch vụ in Tên Chữ theo yêu cầu,Dịch vụ,1,NOSIZE,""
(tr???ng),Hàng Sale,TRANG PHỤC KHÁC,1,NOSIZE,""
(tr???ng),Hàng may theo yêu cầu,TRANG PHỤC KHÁC,1,NOSIZE,""
(tr???ng),Inter Milan sân nhà 25-26,CÂU LẠC BỘ,5,"2XL, L, M, S, XL",""
(tr???ng),Juve sọc 2023 - 2024,CÂU LẠC BỘ,5,"2XL, L, M, S, XL",""
(tr???ng),Liver lý training 2025 trẻ em,BÓNG ĐÁ TRẺ EM,8,"1, 11, 13, 15, 3, 5, 7, 9",""
(tr???ng),Liverpool lý training 2025,CÂU LẠC BỘ,5,"2XL, L, M, S, XL",""
(tr???ng),Lịch Euro 2024,QUỐC GIA,1,39X54CM,""
(tr???ng),Phí giao hàng ra chành xe (kho-chành),Dịch vụ,1,NOSIZE,""
Trắng xanh,Vớ thể thao Just Play ngắn JPPK02S,TẤT VỚ,1,OS,""
Trắng xanh,Áo cầu lông Just Play Active 2 nam,CẦU LÔNG - PICKLEBALL,4,"2XL, L, M, XL",""
Trắng xanh,Áo cầu lông Just Play Active 2 nữ,CẦU LÔNG - PICKLEBALL,4,"2XL, L, M, XL",""
trắng xanh,Argentina sọc trắng xanh 2024,QUỐC GIA,5,"2XL, L, M, S, XL",""
trắng xanh,Atletico trắng xanh,CÂU LẠC BỘ,5,"2XL, L, M, S, XL",""
trắng xanh,Bộ bóng đá CRX trắng xanh,CRX,6,"2XL, 3XL, L, M, S, XL",""
trắng xanh,Bộ bóng đá Dragon II xám trắng xanh,DRAGON,6,"2XL, 3XL, L, M, S, XL",""
trắng xanh,Bộ bóng đá JSX trắng xanh,JSX,6,"2XL, 3XL, L, M, S, XL",""
trắng xanh,Passat trắng xanh,PASSAT,5,"2XL, L, M, S, XL",""
trắng xanh,QA Bóng đá Just Play - Passat II màu trắng xanh,PASSAT,6,"2XL, 3XL, L, M, S, XL",""
trắng xanh,QA bóng đá Thunder trắng xanh,THUNDER,6,"2XL, 3XL, L, M, S, XL",""
trắng xanh,Quần áo bóng đá PHANTOM trắng xanh,PHANTOM,5,"2XL, L, M, S, XL",""
trắng xanh,Áo Polo thể thao Just Play - Argon trắng xanh lục,POLO,6,"2XL, 3XL, L, M, S, XL",""
trắng xanh,Áo polo Just Play nữ WPJ01 trắng xanh vịt,POLO,4,"2XL, L, M, XL",""
trắng xanh,Áo thể thao Just Play Lighting II (nam) trắng xanh,ÁO LIGHTING,4,"2XL, L, M, XL",""
trắng xanh,Áo thể thao Just Play Lighting II (nữ) trắng xanh,ÁO LIGHTING,4,"2XL, L, M, XL",""
xanh,Barca sọc xanh đỏ sân nhà 2025 trẻ em,BÓNG ĐÁ TRẺ EM,8,"1, 11, 13, 15, 3, 5, 7, 9",""
xanh,Barca xanh đỏ 24-25,CÂU LẠC BỘ,5,"2XL, L, M, S, XL",""
xanh,Barca xanh đỏ 25-26,CÂU LẠC BỘ,5,"2XL, L, M, S, XL",""
xanh,Barca xanh đỏ sân nhà 2025,CÂU LẠC BỘ,5,"2XL, L, M, S, XL",""
xanh,Bồ Đào Nha đỏ 2024 trẻ em quần xanh két,BÓNG ĐÁ TRẺ EM,8,"1, 11, 13, 15, 3, 5, 7, 9",""
xanh,Man City xanh két 2023 - 2024,CÂU LẠC BỘ,5,"2XL, L, M, S, XL",""
xanh,Mu xanh rêu 23 - 24,CÂU LẠC BỘ,5,"2XL, L, M, S, XL",""
xanh,Nhật Bản xanh 2026 trẻ em,BÓNG ĐÁ TRẺ EM,8,"1, 11, 13, 15, 3, 5, 7, 9",""
xanh,Nhật Bản xanh trẻ em,BÓNG ĐÁ TRẺ EM,8,"1, 11, 13, 15, 3, 5, 7, 9",""
xanh,Paris xanh 2023 trẻ em,BÓNG ĐÁ TRẺ EM,8,"1, 11, 13, 15, 3, 5, 7, 9",""
xanh,Pháp xanh 2024 tay dài,BÓNG ĐÁ TAY DÀI,4,"L, M, S, XL",""
xanh,Pháp xanh 2024 trẻ em,BÓNG ĐÁ TRẺ EM,8,"1, 11, 13, 15, 3, 5, 7, 9",""
xanh,Pháp xanh 2026 trẻ em,BÓNG ĐÁ TRẺ EM,8,"1, 11, 13, 15, 3, 5, 7, 9",""
xanh,Pháp xanh Euro 2024,QUỐC GIA,5,"2XL, L, M, S, XL",""
xanh,QA Nhật Bản xanh 26-27,QUỐC GIA,5,"2XL, L, M, S, XL",""
xanh,QA Pháp xanh 26-27,QUỐC GIA,5,"2XL, L, M, S, XL",""
xanh,QA bóng đá Just Play Wolves lớn xanh vịt,WOLVES,6,"2XL, 3XL, L, M, S, XL",""
xanh,QA bóng đá Just Play Wolves trẻ xanh vịt,WOLVES,4,"11, 13, 15, 9",""
xanh,QA trẻ em Just Play Kid04 xanh vịt,TRẺ EM,8,"1, 11, 13, 15, 3, 5, 7, 9",""
